code,title,intro,includes,alsoIncludes,excludes
07.2.4,Other services related to personal transport equipment (S),,"* rental of a parking space or a garage that provides parking but not in connection with a dwelling
* rental of municipal street parking spaces
* parking meters, regardless of form of payment (e.g., attendant or through parking meter)
* charges for the rental of parking spaces in parking garages (including valet service), such as those located in shopping centres, for a few hours or less","* parking permits valid for designated areas (e.g., residential parking permits)
* bridge tolls, tunnel tolls, motorway tolls and so on
* charges for rental or purchase of electronic tags and toll devices
* driving lessons, driving tests and driving licences
* roadworthiness tests and emissions control tests
* rental of personal transport equipment without driver(s)","* rental of a parking space or a garage that provides parking in connection with a dwelling (04.1.2.2)
* hire of a car with driver; payments made to share a mode of transport through private arrangements (carpooling, ride sharing) (07.3.2.2)
* rental of personal transport equipment for recreation (09.4.2.2)
* service charges for insurance in respect of personal transport equipment (12.1.4.1)"
07.2.4.1,Parking services (S),,"* rental of municipal street parking
* parking meters, regardless of form of payment (e.g., attendant or through parking meter)
* charges for the rental of parking spaces in parking garages (including valet service), such as those located in shopping centres, for a few hours or less","* parking permits valid for designated areas (e.g., residential parking permits)",* rental of a parking space or a garage that provides parking in connection with a dwelling (04.1.2.2)
07.2.4.2,Toll facilities (S),,"* bridge tolls, tunnel tolls, motorway tolls and so on
* charges for rental or purchase of electronic tags and toll devices",,
07.2.4.3,"Driving lessons, tests, licences and roadworthiness tests (S)",,"* driving lessons, driving tests and driving licences
* roadworthiness tests and emissions control tests
* vehicle registration fees","* charges associated with the transfer of vehicle ownership
* driving lessons, driving tests and driving licences associated with recreational transport vehicles (mobile homes, boats, planes, etc.)",
07.2.4.4,Hire of personal transport equipment without driver (S),,"* hire of personal transport equipment without driver (e.g., car rental)
* fees for participation in car-, bicycle- and motorcycle-sharing schemes",,"* passenger transport services by taxi and hired vehicle with driver (07.3.2.2)
* rental of personal transport equipment for recreation (09.4.2.2)
* service charges for personal transport equipment insurance (12.1.4.1)"
07.3,Passenger transport services,"Purchases of transport services are generally classified by mode of transport. When a ticket covers two or more modes of transport – for example, intra-urban bus and underground; or inter-urban train and ferry – and the expenditure cannot be apportioned between them, then such purchases should be assigned to subclass 07.3.5.0.

Costs of meals, snacks, drinks, refreshments and accommodation services need to be included in group 07.3 if they are covered by the fare and not priced separately. If priced separately, those costs need to be classified under division 11.

School transport services are included in group 07.3; ambulance services, on the other hand, are excluded and assigned to subclass 06.4.2.0.",,,
07.3.1,Passenger transport by railway (S),,"* transport of persons and accompanied luggage by train, high-speed train, maglev, light railway (light rail), tram and underground
* transport of accompanied private vehicles",,* funicular transport (07.3.6.0)
07.3.1.1,Passenger transport by train (S),,"* transport of persons and accompanied luggage by train, high-speed train and maglev
* transport of accompanied private vehicles",,* funicular transport (07.3.6.0)
07.3.1.2,Passenger transport by rapid transit and tram (S),,"* transport of persons and accompanied luggage by rapid transit (electric railways that operate on an exclusive right of way, which cannot be accessed by pedestrians or any other types of vehicles, and which is often grade-separated in tunnels or on elevated railways), light rail, underground, rubber-tyred metro and people mover
* transport of persons and accompanied luggage by tram",,
07.3.2,Passenger transport by road (S),,"* transport of persons and accompanied luggage by bus, trolleybus, and coach
* transport of persons and accompanied luggage by share taxi, a vehicle for hire that may be characterized as a cross between a taxicab and a bus. This mode of transport is often utilized in developing countries. Share taxis are typically smaller in size than buses, ranging from four-seat cars to minibuses, and are often owner-operated. They usually operate without a timetable along a fixed or semi-fixed route and may stop anywhere along that route to pick up or drop off passengers. 
* transport of persons and accompanied luggage by taxi and hired vehicle, with driver
* transport of persons and accompanied luggage on the basis of private arrangements, such as carpooling and ride sharing
* local school bus charter services, with driver
* inter-urban and intercity school bus charter services operating by schedule
* transport of pupils by school bus between their homes and school and between schools, including in rural areas
* transport of persons and accompanied luggage by animal-drawn vehicles, with driver","* tuk-tuks, auto and cycle rickshaws and motorcycles serving as taxis",
07.3.2.1,Passenger transport by bus and coach (S),,"* transport of persons and accompanied luggage by bus, trolleybus, and coach
* transport of persons and accompanied luggage by share taxi, a vehicle for hire that may be characterized as a cross between a taxicab and a bus. This mode of transport is often utilized in developing countries. Share taxis are typically smaller in size than buses, ranging from four-seat cars to minibuses, and are often owner-operated. They usually operate without a timetable along a fixed or semi-fixed route and may stop anywhere along that route to pick up or drop off passengers.",,
07.3.2.2,Passenger transport by taxi and hired vehicle with driver (S),,"* transport of persons and accompanied luggage by taxi and hired vehicle, with driver
* transport of persons and accompanied luggage through private arrangements, such as carpooling and ride sharing",,
07.3.2.3,Passenger transport for students to and from school (S),,"* local school bus charter services, with driver
* inter-urban and intercity school bus charter services operating by schedule
* transportation of pupils by school bus between their homes and school and between schools, including in rural areas",,
07.3.2.9,Other passenger transport by road (S),,"* transport of persons and accompanied luggage by animal-drawn vehicles, with driver","* tuk-tuks, auto and cycle rickshaws and motorcycles serving as taxis",* 	transport of persons and accompanied luggage by busses with driver (07.3.2.1)
07.3.3,Passenger transport by air (S),,* transport of persons and accompanied luggage by aeroplane and helicopter,* passenger transport by drone and multi-copter,
07.3.3.1,"Passenger transport by air, domestic (S)",,"* domestic scheduled and chartered air passenger transport services
* domestic transport of persons and accompanied luggage by aeroplane and helicopter",* domestic air passenger transport by drone and multi-copter,
07.3.3.2,"Passenger transport by air, international (S)",,* transportation of persons and accompanied luggage by air on an international scheduled and chartered flight,* international air passenger transport by drone and multi-copter,
07.3.4,Passenger transport by sea and inland waterway (S),,"* transport of persons and accompanied luggage by ship, boat, ferry, hovercraft and hydrofoil
* transport of accompanied private vehicles
* water taxis",,
07.3.4.0,Passenger transport by sea and inland waterway (S),,"* transport of persons and accompanied luggage by ship, boat, ferry, hovercraft and hydrofoil
* transport of accompanied private vehicles
* water taxis",,
07.3.5,Combined passenger transport (S),,"* transport of persons and accompanied luggage via two or more modes of transport when the expenditure cannot be apportioned between them
* multiple modes of transport (e.g., bus, tram, subway, ferry) as covered by one ticket","* transport of accompanied private vehicles (as covered, e.g., by a ticket for a combined train and ferry trip)",* package holidays (09.8.0.0)
07.3.5.0,Combined passenger transport (S),,"* transport of persons and accompanied luggage via two or more modes of transport when the expenditure cannot be apportioned between them
* multiple modes of transport (e.g., bus, tram, subway, ferry) as covered by one ticket","* transport of accompanied private vehicles (as covered, e.g., by a ticket for a combined train and ferry trip)",* package holidays (09.8.0.0)
07.3.6,Other passenger transport services (S),,"* funicular, elevator, cable car and chairlift transport
* services of porters, left-luggage offices (related to storage of travellers’ luggage for a limited period of time) and luggage forwarding offices
* travel agents’ commissions, if priced separately
* transporter bridges and transport elevators including incline elevators",,* cable car and chairlift transport at ski resorts and holiday centres (09.4.6.2)
07.3.6.0,Other passenger transport services (S),,"* funicular, elevator, cable car and chairlift transport
* services of porters, left-luggage offices (related to storage of travellers’ luggage for a limited period of time) and luggage forwarding offices
* travel agents’ commissions, if priced separately
* transporter bridges and transport elevators including incline elevators",,* cable-car and chairlift transport at ski resorts and holiday centres (09.4.6.2)
07.4,Transport services for goods,,,,
07.4.1,Postal and courier services (S),,"* new postage stamps and pre-franked postal matter (e.g., pre-franked postcards, envelopes)
* letter courier services
* parcel delivery services (incoming and outgoing – parcels sent and parcel home delivery)
* parcel delivery services for goods purchased online
* small parcel courier services
* mailbox rentals",,"* services of porters and left-luggage and luggage-forwarding offices (07.3.6.0)
* services of delivery of goods, such as furniture and groceries, if separately priced; local delivery of purchased items, such as take-out meals and prescription drugs; and delivery services made immediately after the item is purchased or scheduled within a short time (07.4.9.2)
* postcards, envelopes and other postal matter, not pre-franked (09.7.4.0)"
07.4.1.1,Letter handling services (S),,"* new postage stamps and other pre-franked postal matter (e.g., pre-franked postcards, envelopes)
* letter courier services
* mailbox rentals",,"* postcards, envelopes and other postal matter, not pre-franked (09.7.4.0)"
07.4.1.2,Courier and parcel delivery services (S),,"* parcel delivery services (incoming and outgoing – parcel shipment and parcel home delivery)
* small parcel courier services
* parcel delivery services for goods purchased online",,"* delivery services for goods (e.g., furniture and groceries), if separately priced (07.4.9.2)"
07.4.9,Other transport of goods (S),,"* removal and storage services, including of furniture
* delivery services for goods (e.g., furniture and groceries), if separately priced
* local delivery of purchased items, such as takeout meals and prescription drugs
* delivery services generally provided immediately after the purchase of an item or scheduled shortly thereafter",,"* self-storage units (04.1.2.2)
* installation of goods (furniture, electric devices, etc.), if separately priced (05.1.2.0, 05.3.3.0)
* services of porters and left-luggage and luggage-forwarding offices (07.3.6.0)"
07.4.9.1,Removal and storage services (S),,"* removal and storage services, including of furniture",,"* self-storage units (04.1.2.2)
* services of porters and left-luggage and luggage-forwarding offices (07.3.6.0)"
07.4.9.2,Delivery of goods (S),,"* delivery services for goods (e.g., furniture, supermarket shopping), when separately priced
* local delivery of purchased items, such as takeout meals and prescription drugs
* delivery services generally provided immediately after the purchase of an item or scheduled shortly thereafter",,"* installation of goods (furniture, electric devices, etc.) when separately priced (05.1.2.0, 05.3.3.0)"
08,Information and communication,"Division 08 covers three main groups of goods and services: information and communication equipment, including equipment for the reception, recording and reproduction of sound and vision (08.1); software (08.2); and information and communication services (08.3). Information and communication services include telephone services, services providing Internet access, television and radio licences and fees, and subscription services, including streaming services of film and music.

Division 08 also includes repair, maintenance and rental of all information and communication equipment.",,,
08.1,Information and communication equipment,,,,
08.1.1,Fixed telephone equipment (D),,"* telephones, telefax and telephone answering machines, and telephone loudspeakers",,* telefax and telephone-answering facilities provided by personal computers (08.1.3.1)
08.1.1.0,Fixed telephone equipment (D),,"* telephones, telefax and telephone answering machines, and telephone loudspeakers",,* telefax and telephone-answering facilities provided by personal computers (08.1.3.1)
08.1.2,Mobile telephone equipment (D),,"* mobile telephone handsets, including multifunctional devices
* smartphones",,
08.1.2.0,Mobile telephone equipment (D),,"* mobile telephone handsets, including multifunctional devices
* smartphones",,
08.1.3,Information processing equipment (D),,"* personal computers, printers, photocopiers, scanners, monitors, projectors, augmented-reality and virtual-reality head mounts, modems, routers, network switches, keyboards, mice and digitizers
* tablets
* calculators, including pocket calculators
* toner and ink cartridges, laser printer drums and typewriter ribbons
* typewriters and word processors","* telefax and telephone-answering facilities of personal computers
* 3-D printers","* computer software packages, comprising, for example, operating systems, applications and programming languages (08.2.0.0)
* video game software; and video game computers and consoles (09.2.1.1)
* books, dictionaries, encyclopaedias, foreign language trainers, multimedia presentations, etc. in the form of software (09.7.1.1)"
08.1.3.1,"Computers, laptops and tablets (D)",,"* desktop computers and laptops
* tablets",* telefax and telephone-answering facilities of personal computers,"* computer software packages, comprising, for example, operating systems, applications and programming languages (08.2.0.0)
* video game software; and video game computers and consoles (09.2.1.1)
* books, dictionaries, encyclopaedias, foreign language trainers, multimedia presentations, etc. in the form of software (09.7.1.1)"
08.1.3.2,Peripheral equipment and its consumable components (D),,"* printers, photocopiers, scanners, monitors, projectors, augmented-reality and virtual-reality head mounts, modems, routers, network switches and the like, keyboards, mouses and digitizers
* typewriters and word processors (device)
* toner and ink cartridges, laser printer drums, typewriter ribbons
* calculators, including pocket calculators
* web cameras.",* 3-D printers,
08.1.4,"Equipment for the reception, recording and reproduction of sound and vision (D)",,"* television sets, video cassette players and recorders, digital video recorders (DVRs), DVD players, Blu-ray players, streaming boxes and television aerials of all types
* radio receivers (radio sets, digital radio sets, Internet radio sets, satellite radio sets, car radios, radio clocks, two-way radios, walkie-talkies, and amateur radio receivers and transmitters)
* portable and non-portable CD players
* portable and non-portable sound players
* stereo equipment and CD radio cassette recorders
* turntables, tuners, amplifiers, cassette decks, microphones and speakers, disc jockey (DJ) equipment and karaoke systems
* audio and video systems for cars
* set-top boxes, satellite receivers, Internet Protocol television receivers and television converter boxes
* digital media players
* headphones, earplugs and wireless, including Bluetooth headsets",,
08.1.4.0,"Equipment for the reception, recording and reproduction of sound and vision (D)",,"* television sets, video cassette players and recorders, digital video recorders (DVRs), DVD players, Blu-ray players, streaming boxes and television aerials of all types
* radio receivers (radio sets, digital radio sets, Internet radio sets, satellite radio sets, car radios, radio clocks, two-way radios, walkie-talkies, and amateur radio receivers and transmitters)
* portable and non-portable CD players
* portable and non-portable sound players
* stereo equipment and CD radio cassette recorders
* turntables, tuners, amplifiers, cassette decks, microphones and speakers, disc jockey (DJ) equipment and karaoke systems
* audio and video systems for cars
* set-top boxes, satellite receivers, Internet Protocol television receivers and television converter boxes
* digital media players
* headphones, earplugs and wireless, including Bluetooth headsets",,
08.1.5,Unrecorded recording media (SD),,"* compact discs recordable (CD-R) and rewritable (CD-RW)
* DVDs recordable (DVD-R) and rewritable (DVD-RW)
* Blu-ray discs recordable (BD-R) and recordable erasable (BD-RE)
* video cassettes
* audiotapes, audio cassettes and digital audiotapes (DAT)
* external hard drives, solid-state drives and network attached storage (NAS)
* USB keys and USB flash drives
* secure digital (SD) cards, CompactFlash (CF) cards and so on
* magnetic data tapes
* other magnetic recording media
* other optical recording media
* other recording media (phase-change recording media, holographic recording media, molecular recording media, etc.)",,"* recorded recording media (09.5.2.0, 09.7.1)"
08.1.5.0,Unrecorded recording media (SD),,"* compact discs recordable (CD-R) and rewritable (CD-RW)
* DVDs recordable (DVD-R) and rewritable (DVD-RW)
* Blu-ray discs recordable (BD-R) and recordable erasable (BD-RE)
* video cassettes
* audiotapes, audio cassettes and digital audiotapes (DAT)
* external hard drives, solid-state drives and network attached storage (NAS)
* USB keys and USB flash drives
* Secure digital (SD) cards, CompactFlash (CF) cards and so on
* magnetic data tapes
* other magnetic recording media
* other optical recording media
* other recording media (phase-change recording media, holographic recording media, molecular recording media, etc.)",,"* recorded recording media (09.5.2.0, 09.7.1)"
08.1.9,Other information and communication equipment and accessories (D),,"* baby monitors
* smartwatches
* fitness trackers and other wearable devices (e.g., smartglasses) that, in general, cannot work without a smartphone or tablet connection
* e-book readers
* chargers, batteries, cables, power banks, docking stations, covers, cases, cradles and mounts
* computer components, for example, processors, internal hard drives, solid-state drives, motherboards, memory, DVD drives, hard drives",,
08.1.9.1,Other information and communication equipment (D),,"* baby monitors
* smartwatches
* fitness trackers and other wearable devices (e.g., smartglasses) that, in general, do not work without a smartphone or tablet connection
* e-book readers",,
08.1.9.2,Other information and communication accessories (SD),,"* chargers, batteries for information and communication equipment, cables, power banks, docking stations, covers, cases, cradles and mounts
* computer components, for example, processors, internal hard drives, solid-state drives, motherboards, memory, DVD drives, hard drives",,
08.2,"Software, excluding games",,,,
08.2.0,"Software, excluding games (S)",,"* computer software packages, comprising, for example, operating systems, applications and programming languages",* software subscriptions and use of online software,"* video game software (09.2.1.1)
* books, dictionaries, encyclopaedias, foreign language trainers, multimedia presentations, etc. in the form of software (09.7.1.1)"
08.2.0.0,"Software, excluding games (S)",,"* computer software packages, comprising, for example, operating systems, applications and programming languages",* software subscriptions and use of online software,"* video game software (09.2.1.1)
* books, dictionaries, encyclopaedias, foreign language trainers, multimedia presentations, etc. in the form of software (09.7.1.1)"
08.3,Information and communication services,,,,
08.3.1,Fixed communication services (S),,"* installation and subscription costs of personal telephone equipment
* telephone calls made from a private line or from a public line (public telephone box, post office cabin, etc.)
* local, regional, national and international calls
* telephone calls from hotels, cafés, restaurants and the like",,
08.3.1.0,Fixed communication services (S),,"* installation and subscription costs associated with personal telephone equipment
* telephone calls made from a private line; or from a public line (public telephone box, post office cabin, etc.)
* local, regional, national and international calls
* telephone calls made from hotels, cafés, restaurants and so on",,
08.3.2,Mobile communication services (S),,"* local, regional, national and international calls, including voice and video calls
* subscription fees for messaging services, including voice, text (SMS), multimedia content (MMS) and so on
* additional calling features, such as voice mail and call display, whether separately priced from or bundled with mobile service
* mobile telephone voice and messaging plans that include limited data
* mobile telephone voice, text and data plans
* other mobile telephone services n.e.c.","* costs of telephone equipment if included in subscription costs
* mobile telephones included in a (prepaid or post-paid) package, generally tied to a specific operator for a certain period of time, if not separately priced",
08.3.2.0,Mobile communication services (S),,"* local, regional, national and international calls, including voice and video calls
* subscription fees for messaging services, including voice, text (SMS), multimedia content (MMS) and so on
* additional calling features, such as voice mail and call display, whether separately priced from or bundled with mobile service
* mobile telephone voice and messaging plans that include limited data
* mobile telephone voice, text and data plans
* other mobile telephone services n.e.c.","* costs of telephone equipment if included in subscription costs
* mobile telephones included in a (prepaid or post-paid) package, generally tied to a specific operator for a certain period of time, if not separately priced",
08.3.3,Internet access provision services and online storage services (S),,"* Internet access services provided by operators of wired, wireless or satellite infrastructure
* cloud storage, file hosting and web hosting services
* subscriptions for email services",* activation and installation fees and monthly rates,
08.3.3.0,Internet access provision services and online storage services (S),,"* Internet access services provided by operators of wired, wireless or satellite infrastructure
* cloud storage, file hosting and web hosting services
* subscriptions for email services",* activation and installation fees and monthly rates,
08.3.4,Bundled telecommunication services (S),,"* packages bundling together telephony, Internet and television services
* packages comprising any combination of telecommunications services",,
08.3.4.0,Bundled telecommunication services (S),,"* packages bundling together telephony, Internet and television services
* packages comprising any combination of telecommunications services",,
08.3.5,Repair and rental of information and communication equipment (S),,"* repair, maintenance and rental of all information and communication equipment, including the cost of materials if the materials are not separately priced
* rental of telephones, telefax machines, telephone-answering machines and telephone loudspeakers
* rental of wireless telephone equipment
* rental of Internet access provision equipment
* rental of telegraphy, telex and telefax equipment",,
08.3.5.0,Repair and rental of information and communication equipment (S),,"* repair, maintenance and rental of all information and communication equipment, including the cost of materials if the materials are not separately priced
* rental of telephones, telefax machines, telephone-answering machines and telephone loudspeakers
* rental of wireless telephone equipment
* rental of Internet access provision equipment
* rental of telegraphy, telex and telefax equipment",,
08.3.9,Other information and communication services (S),,"* telegraphy, telex and telefax services
* provision of nomadic Voice over Internet Protocol (VoIP) services
* fees/licenses for access to/reception of public television or radio broadcasts or the possession of a television set or radio
* subscription to cable television, satellite television, Internet Protocol television (IPTV) and pay television
* streaming services
* online video recorder services (web-based digital video recorder services)
* video on demand (VOD) services
* rental or subscription of CDs, videotapes, DVDs, Blu-ray discs and software (excluding game software)","* software installation services
* rental and leasing fees for decoders, set-top boxes and so on
* repair, rental, and installation of equipment for the reception, recording and reproduction of sound and vision","* rental of and subscription to video game software and online games (09.4.3.1)
* audiovisual content purchased online for immediate downloading (09.5.2.0)"
08.3.9.1,Television and radio licences and fees (S),,* fees/licenses for access to/reception of public television or radio broadcasts or the possession of a television set or radio,,
08.3.9.2,Subscriptions to audiovisual streaming services and rental of audiovisual content (S),,"* streaming services (film and music)
* rental of CDs, video tapes, DVDs, Blu-ray discs, software (excluding game software) or download with subscription of audio-visual content
* subscription to cable television, satellite television, Internet Protocol television (IPTV), and pay television
* online videorecorder services (web-based digital videorecorder (DVR) services)
* video on demand (VOD) services
* subscription to television via decoders and rental of decoders",,"* rental of and subscription to video game software and online games (09.4.3.1)
* audiovisual content purchased online for immediate download (09.5.2.0)"
08.3.9.9,Other information and communication services n.e.c. (S),,"* telegraphy, telex and telefax services
* provision of nomadic voice over Internet Protocol (VoIP) services
* software installation services
* repair, rental, and installation of equipment for the reception, recording and reproduction of sound and vision",,
09,"Recreation, sport and culture","Division 09 includes a wide range of goods and services related to recreation, sport and culture structured into eight groups:
(a) Recreational durables: photographic and cinematographic equipment and optical instruments; and major recreational durables such as camper vans, boats, yachts and aeroplanes (group 09.1)
(b) Non-major durable recreational goods, such as games and toys, including video game computers and celebration articles; and sporting, camping and open-air equipment (group 09.2)
(c) Garden products, plants and flowers; pets and products for pets (excluding veterinary services) (group 09.3)
(d) Recreational services: rental, maintenance and repair of goods classified under division 09; veterinary and other pet services; games of chance; and recreational, sporting and leisure services, such as those provided by amusement parks, as well as fees for participation in sports competitions and for admission to sporting events 
(e) Cultural goods, such as musical instruments and audiovisual media (group 09.5) 
(f) Cultural services (09.6), such as those provided by cinemas, theatres and concert venues and by museums libraries and cultural sites; and photographic services (group 09.6) 
(g) Books, newspapers and periodicals, in both printed and electronic format; and stationery and drawing materials (group 09.7)
(h) Package holidays, which bundle services such as transportation, accommodation, provision of food, and excursion tours including tour guides (group 09.8). The fact that expenditure on package holiday services cannot be broken down into the separate expenditures on each kind of service led to the creation of a separate package holiday category. Neither the duration of the package holiday nor whether the holiday destination is within or outside the home country is taken into consideration.",,,
09.1,Recreational durables,,,,
09.1.1,Photographic and cinematographic equipment and optical instruments (D),,"* still cameras, movie cameras and sound-recording cameras, film and slide projectors, enlargers and film processing equipment
* video cameras, including camcorders and action cameras
* screens, viewers, lenses (including zoom lenses), flash attachments, filters, exposure meters and so on
* photographic developer and photographic paper
* binoculars, microscopes, telescopes and compasses","* materials purchased by households with the intention of undertaking maintenance and repair themselves
* unexposed photographic and cinematographic films
* camera-specific batteries and chargers","* dash cameras (07.2.1.3)
* web cameras (08.1.3.2)."
09.1.1.1,Cameras (D),,"* still cameras, movie cameras and sound-recording cameras, film and slide projectors, enlargers and film processing equipment
* video cameras, including camcorders and action cameras",* materials purchased by households with the intention of undertaking maintenance and repairs themselves,"* dash cameras (07.2.1.3)
* web cameras (08.1.3.2)"
09.1.1.2,Accessories for photographic and cinematographic equipment (D),,"* parts and accessories for photographic and cinematographic equipment and optical instruments such as screens, viewers, lenses (including zoom lenses), flash attachments, filters, exposure meters and so on
* photographic developer and photographic paper","* materials purchased by households with the intention of undertaking maintenance and repairs themselves
* unexposed photographic and cinematographic films
* camera-specific batteries and chargers",
09.1.1.3,Optical instruments (D),,"* binoculars, microscopes, telescopes and compasses",,
09.1.2,Major recreational durables (D),,"* camper vans, caravans and trailers
* aeroplanes, microlight aircraft, gliders, hang gliders and hot-air balloons
* boats, yachts, outboard motors, sails, rigging and superstructures
* vessels for recreation, sailboats, sailboards, water-sport boards
* canoes, kayaks and windsurfing boards
* sea diving equipment
* horses and ponies, horse- and pony-drawn vehicles, camels and dromedaries, and related equipment (harnesses, bridles, reins, saddles, etc.), purchased for recreational purposes
* golf carts
* large garden swimming pools (above ground)
* billiard tables, ping-pong tables, pinball machines, gaming machines and so on
* other major recreational durables n.e.c.",* materials purchased by households with the intention of undertaking maintenance and repairs themselves,"* horses and ponies, horse- and pony-drawn vehicles, camels and dromedaries, and related equipment, purchased for personal transport (07.1.4.0)
* inflatable boats, rafts and swimming pools for use by children and at the beach (09.2.2.2)"
09.1.2.1,"Camper vans, caravans and trailers (D)",,"* camper vans, caravans and trailers",,
09.1.2.2,"Aeroplanes, microlight aircraft, gliders, hang gliders and hot-air balloons (D)",,"* aeroplanes, microlight aircraft, gliders, hang gliders and hot-air balloons",,
09.1.2.3,"Boats, yachts, outboard motors and other water-sport equipment (D)",,"* boats, yachts, outboard motors, sails, jet skis, rigging and superstructures
* vessels for recreation, sailboats, sailboards, water-sport boards
* canoes, kayaks, windsurfing boards and so on
* sea diving equipment
* water sport equipment and related accessories",,"* inflatable boats, rafts and swimming pools (09.2.2.2)"
09.1.2.4,"Horses, ponies, camels and dromedaries and accessories (D)",,"* horses and ponies, horse- and pony-drawn vehicles, and camels and dromedaries, and related equipment (harnesses, bridles, reins, saddles, etc.), purchased for recreational purposes",,"* horses and ponies, horse- and pony-drawn vehicles, camels and dromedaries, and related equipment, purchased for personal transport (07.1.4.0)"
09.1.2.9,Other major recreational durables (D),,"* golf carts
* large garden swimming pools (above ground)
* billiards tables, ping-pong tables, pinball machines, gaming machines and so on
* electric skateboards, self-balancing unicycles and other electric recreational scooters
* other major recreational durables n.e.c.",,"* electric kick scooters (07.1.3.0)
* inflatable boats, rafts and swimming pools (09.2.2.2)"
09.2,Other recreational goods,,,,
09.2.1,"Games, toys and hobby-related articles (SD)",,"* card games, board games, parlour games, chess sets and similar items
* video game software; video game computers that can be plugged into a television set; video game cassettes and video game CD-ROMs, video game downloads
* game applications
* gamepads, joysticks, racing wheels and other video gaming accessories
* electronic games
* toys of all kinds including dolls, soft toys, toy cars and trains, toy bicycles and tricycles, toy construction sets, puzzles, modelling clay, electronic games, masks, disguises, jokes, novelties, fireworks and rockets, and festoons and holiday decorations
* 	remote controlled toy cars, ships, planes and aerial vehicles
* requisites for stamp-collecting practised as a hobby (used or cancelled postage stamps, stamp albums, etc.), other collection items (coins, medals, minerals, zoological and botanical specimens, etc.) and other hobby-related articles n.e.c.",* materials purchased by households with the intention of undertaking maintenance and repair themselves,"* collector’s items classifiable as works of art or antiques (05.1.1), or capital formation if acquired primarily as stores of value
* video game subscriptions and rentals (09.4.3.1)
* children’s scrapbooks (09.7.1.9)"
09.2.1.1,"Video game computers, consoles, game applications and software (SD)",,"* video game computers
* video game consoles
* gamepads, joysticks, racing wheels and other video gaming accessories
* electronic games
* video game software (for game consoles, computers, tablets and smartphones, on media such as CD-ROMs, cartridges, DVDs, Blu-ray discs and flash drives or available from the Internet)
* game applications",,* video game subscriptions and rentals (09.4.3.1)
09.2.1.2,"Other games, toys and hobby-related articles (SD)",,"* traditional games, for example, card games, parlour games, board games, chess sets
* dolls
* toy cars, including toy trains, toy bicycles and tricycles
* remote controlled toy cars, ships, planes and aerial vehicles
* soft toys, teddy bears and so on
* toy construction sets
* toy instruments
* puzzles
* modelling clay
* masks
* disguises
* joke toys
* novelties
* models and replicas of planes, boats, trains and so on
* requisites for stamp-collecting practised as a hobby (used or cancelled postage stamps, stamp albums, etc.)
* other collection items (coins, medals, minerals, zoological and botanical specimens, etc.) and other hobby tools and articles, n.e.c.",,"* collectors’ items classifiable as works of art or antiques (05.1.1), or capital formation if acquired primarily as stores of value
* children’s scrapbooks (09.7.1.9)"
09.2.1.3,Celebration articles (ND),,"* fireworks and rockets
* festoons
* Christmas trees
* holiday decorations (for Christmas, Easter, Diwali, Eid, Hanukkah and other celebrations)",,
09.2.2,"Sporting, camping and open-air recreation equipment (SD)",,"* gymnastic, physical education and sporting equipment, such as balls, shuttlecocks, nets, rackets, bats, skis, golf clubs, foils, sabres, poles, javelins and weights, dumb-bells, chest expanders and other body-building equipment
* parachutes, paragliders and other skydiving equipment
* firearms and/or ammunition, other weapons, and body armour for hunting, sport and personal protection
* fishing rods and other fishing equipment
* equipment for beach and open-air games, such as bowls, croquet, flying disc games and volleyball
* inflatable boats, rafts and swimming pools
* skateboards, kickboards, smart balance wheels and hover boards
* camping equipment, such as tents, sleeping bags, backpacks for camping, air mattresses, inflating pumps, camping stoves and gas, barbecues and other camping accessories
* walking sticks and canes for recreational purposes (e.g., hiking and tracking)","* game-specific footwear (ski boots, football boots, golfing shoes and other such footwear fitted with ice skates, rollers, spikes, studs, etc.); protective sports headgear; and other protective sports gear, such as life jackets, boxing gloves, sport gloves, body padding, shin guards, goggles, belts and supports
* materials purchased by households with the intention of undertaking maintenance and repair themselves
* Global Positioning System (GPS) (satellite-based radionavigation positioning) equipment for boating and hiking","* garden and camping furniture (05.1.1.2)
* motorcycle and bicycle crash helmets (07.2.1.3)
* rental and repair of sporting, camping and open-air recreation equipment (09.4.4.0)"
09.2.2.1,Sporting equipment (SD),,"* gymnastic, physical education and sporting equipment, such as balls, shuttlecocks, nets, rackets, bats, skis, golf clubs, discuses and javelins
* parachutes, paragliders and other skydiving equipment
* firearms and ammunition, other weapons, and body armour for hunting, sport and personal protection
* fishing rods and other fishing equipment
* skateboards, kickboards, smart balance wheels and hover boards
* walking sticks and canes for recreational purposes (e.g., hiking and tracking)","* game-specific footwear (ski boots, football boots, golfing shoes and other such footwear fitted with ice skates, rollers, spikes, studs, etc.)
* game-specific sportswear (ski suits, etc.)
* protective sports headgear
* other protective sports gear, such as life jackets, boxing gloves, sport gloves, body padding, shin guards, goggles, belts, supports","* motorcycle and bicycle crash helmets (07.2.1.3)
* rental and repair of sporting, camping and open-air recreation equipment (09.4.4.0)"
09.2.2.2,Camping and open-air recreation equipment (SD),,"* equipment for beach and open-air games, such as bowls, croquet, flying disc games, and volleyball and inflatable boats, rafts and swimming pools
* tents, sleeping bags, backpacks for camping, air mattresses, inflating pumps, camping stoves and gas, barbecues and other camping accessories",* Global Positioning System (GPS) (satellite-based radionavigation positioning) equipment for boating and hiking,"* garden and camping furniture (05.1.1.2)
* rental and repair of camping and open-air recreation equipment (09.4.4.0)"
